,date,store_id,sku,units_sold,unit_price,promo_flag
158,2025-01-25,S005,BEER_IPA_4PK,-11,12.99,0
278,2025-01-31,S005,BEER_IPA_4PK,-4,12.99,0
573,2025-02-15,S003,BEER_IPA_4PK,-6,12.99,0
642,2025-02-18,S005,BEER_STOUT_6PK,-6,11.99,0
690,2025-02-21,S002,BEER_STOUT_6PK,-9,11.99,0
811,2025-02-27,S002,BEER_IPA_4PK,-4,12.99,0
844,2025-02-28,S005,BEER_STOUT_6PK,-7,11.99,0
905,2025-03-04,S001,BEER_LAGER_6PK,-6,10.99,0
916,2025-03-04,S003,BEER_STOUT_6PK,-8,11.99,0
949,2025-03-06,S001,ALE_PALE_6PK,-7,10.49,0
1085,2025-03-12,S005,BEER_IPA_4PK,-4,12.99,0
1147,2025-03-15,S005,ALE_PALE_6PK,-5,10.49,0
1257,2025-03-21,S003,BEER_LAGER_6PK,-3,10.99,0
1706,2025-04-12,S005,BEER_LAGER_6PK,-4,10.99,0
1750,2025-04-15,S001,BEER_LAGER_6PK,-2,10.99,0
1831,2025-04-19,S001,BEER_LAGER_6PK,-10,10.99,0
1875,2025-04-21,S001,BEER_STOUT_6PK,-6,11.99,0
1880,2025-04-21,S002,ALE_PALE_6PK,-5,10.49,0
1893,2025-04-22,S001,BEER_LAGER_6PK,-4,10.99,0
2003,2025-04-27,S003,BEER_IPA_4PK,-11,12.99,0
2027,2025-04-28,S004,BEER_IPA_4PK,-2,12.99,0
2155,2025-05-05,S001,BEER_LAGER_6PK,-6,10.99,0
2543,2025-05-24,S002,BEER_STOUT_6PK,-5,11.99,0
2572,2025-05-25,S004,ALE_PALE_6PK,-6,10.49,0
2676,2025-05-30,S005,BEER_IPA_4PK,-7,12.99,0
3124,2025-06-22,S001,BEER_IPA_4PK,-16,12.99,0
3187,2025-06-25,S002,BEER_LAGER_6PK,-9,10.99,0
3200,2025-06-25,S005,BEER_IPA_4PK,-7,12.99,0
3202,2025-06-25,S005,ALE_PALE_6PK,-11,10.49,0
3359,2025-07-03,S004,BEER_IPA_4PK,-8,12.99,0
3637,2025-07-17,S003,BEER_IPA_4PK,-9,12.99,0
3753,2025-07-23,S001,ALE_PALE_6PK,-4,10.49,0
3789,2025-07-24,S005,ALE_PALE_6PK,-5,10.49,0
3874,2025-07-29,S001,ALE_PALE_6PK,-7,10.49,0
3892,2025-07-30,S001,BEER_LAGER_6PK,-7,10.99,0
3911,2025-07-30,S005,BEER_STOUT_6PK,-4,11.99,0
3978,2025-08-03,S002,BEER_LAGER_6PK,-14,10.99,0
4001,2025-08-04,S002,ALE_PALE_6PK,-5,10.49,0
4504,2025-08-29,S002,BEER_IPA_4PK,-2,12.99,0
4656,2025-09-05,S005,BEER_IPA_4PK,-3,10.392,1
4657,2025-09-05,S005,BEER_STOUT_6PK,-3,11.99,0
4727,2025-09-09,S003,BEER_LAGER_6PK,-7,10.99,0
4850,2025-09-15,S003,BEER_IPA_4PK,-4,12.99,0
4907,2025-09-18,S002,BEER_IPA_4PK,-6,12.99,0
5006,2025-09-23,S002,BEER_LAGER_6PK,-8,10.99,0
5076,2025-09-26,S004,BEER_STOUT_6PK,-6,11.99,0
5288,2025-10-07,S001,ALE_PALE_6PK,-8,10.49,0
5343,2025-10-09,S005,BEER_STOUT_6PK,-6,11.99,0
5369,2025-10-11,S001,BEER_STOUT_6PK,-6,11.99,0
5433,2025-10-14,S002,BEER_STOUT_6PK,-4,11.99,0
5435,2025-10-14,S003,BEER_LAGER_6PK,-1,10.99,0
5506,2025-10-17,S005,BEER_IPA_4PK,-11,12.99,0
5613,2025-10-23,S002,BEER_LAGER_6PK,-4,10.99,0
5746,2025-10-29,S005,BEER_LAGER_6PK,-9,10.99,0
5790,2025-11-01,S001,BEER_IPA_4PK,-7,12.99,0
5835,2025-11-03,S002,BEER_STOUT_6PK,-11,11.99,0
5901,2025-11-06,S004,BEER_LAGER_6PK,-8,10.99,0
6054,2025-11-14,S002,BEER_STOUT_6PK,-5,11.99,0
6105,2025-11-16,S005,BEER_IPA_4PK,-7,12.99,0
6137,2025-11-18,S003,BEER_IPA_4PK,-6,12.99,0
6281,2025-11-25,S003,BEER_IPA_4PK,-3,12.99,0
6389,2025-11-30,S004,ALE_PALE_6PK,-8,10.49,0
6512,2025-12-06,S005,BEER_LAGER_6PK,-10,10.99,0
6674,2025-12-14,S005,ALE_PALE_6PK,-8,10.49,0
6800,2025-12-21,S002,ALE_PALE_6PK,-9,10.49,0
6839,2025-12-23,S002,BEER_STOUT_6PK,-13,11.99,0
6897,2025-12-26,S001,ALE_PALE_6PK,-9,10.49,0
7024,2026-01-01,S003,BEER_IPA_4PK,-3,12.99,0
7056,2026-01-03,S001,BEER_IPA_4PK,-9,12.99,0
7136,2026-01-07,S001,ALE_PALE_6PK,-6,10.49,0
7242,2026-01-12,S003,BEER_IPA_4PK,-1,12.99,0
7321,2026-01-16,S003,BEER_LAGER_6PK,-9,10.99,0
7323,2026-01-16,S003,BEER_STOUT_6PK,-5,11.99,0
7361,2025-06-25,S005,BEER_IPA_4PK,-7,12.99,0
