date,channel,sku,units_sold,revenue,promo_flag,category
2025-01-21,Ecommerce,ALE_PALE_6PK,14,146.86,0,Beer
2025-01-21,Ecommerce,BEER_IPA_4PK,10,129.9,0,Beer
2025-01-21,Ecommerce,BEER_LAGER_6PK,2,21.98,0,Beer
2025-01-21,Retail,ALE_PALE_6PK,26,272.74,0,Beer
2025-01-21,Retail,BEER_IPA_4PK,22,270.192,1,Beer
2025-01-21,Retail,BEER_LAGER_6PK,19,208.81,0,Beer
2025-01-21,Retail,BEER_STOUT_6PK,17,203.82999999999998,0,Beer
2025-01-21,Retail,UNKNOWN_SKU_999,6,30.0,0,Legacy
2025-01-22,Ecommerce,BEER_IPA_4PK,13,168.87,0,Beer
2025-01-22,Ecommerce,BEER_LAGER_6PK,2,21.98,0,Beer
2025-01-22,Retail,ALE_PALE_6PK,18,188.82,0,Beer
2025-01-22,Retail,BEER_IPA_4PK,14,181.86,0,Beer
2025-01-22,Retail,BEER_LAGER_6PK,26,285.74,0,Beer
2025-01-22,Retail,BEER_STOUT_6PK,19,227.81,0,Beer
2025-01-23,Ecommerce,ALE_PALE_6PK,12,125.88,0,Beer
2025-01-23,Ecommerce,BEER_IPA_4PK,7,90.93,0,Beer
2025-01-23,Ecommerce,BEER_LAGER_6PK,19,208.81,0,Beer
2025-01-23,Retail,ALE_PALE_6PK,23,232.87800000000001,1,Beer
2025-01-23,Retail,BEER_IPA_4PK,25,324.75,0,Beer
2025-01-23,Retail,BEER_LAGER_6PK,15,164.85000000000002,0,Beer
2025-01-23,Retail,BEER_STOUT_6PK,18,215.82000000000002,0,Beer
2025-01-24,Ecommerce,BEER_STOUT_6PK,6,71.94,0,Beer
2025-01-24,Retail,ALE_PALE_6PK,16,167.84,0,Beer
2025-01-24,Retail,BEER_IPA_4PK,25,293.574,1,Beer
2025-01-24,Retail,BEER_LAGER_6PK,15,164.85,0,Beer
2025-01-24,Retail,BEER_STOUT_6PK,24,266.178,1,Beer
2025-01-24,Retail,UNKNOWN_SKU_999,2,10.0,0,Legacy
2025-01-25,Ecommerce,ALE_PALE_6PK,4,41.96,0,Beer
2025-01-25,Ecommerce,BEER_IPA_4PK,5,64.95,0,Beer
2025-01-25,Ecommerce,BEER_LAGER_6PK,3,32.97,0,Beer
2025-01-25,Retail,ALE_PALE_6PK,38,398.62,0,Beer
2025-01-25,Retail,BEER_IPA_4PK,41,532.59,0,Beer
2025-01-25,Retail,BEER_LAGER_6PK,23,252.77,0,Beer
2025-01-25,Retail,BEER_STOUT_6PK,36,431.64,0,Beer
2025-01-26,Ecommerce,ALE_PALE_6PK,17,178.33,0,Beer
2025-01-26,Ecommerce,BEER_IPA_4PK,14,181.86,0,Beer
2025-01-26,Ecommerce,BEER_STOUT_6PK,6,71.94,0,Beer
2025-01-26,Retail,ALE_PALE_6PK,32,335.68,0,Beer
2025-01-26,Retail,BEER_IPA_4PK,44,571.56,0,Beer
2025-01-26,Retail,BEER_LAGER_6PK,45,468.174,1,Beer
2025-01-26,Retail,BEER_STOUT_6PK,44,505.978,1,Beer
2025-01-27,Ecommerce,ALE_PALE_6PK,12,125.88,0,Beer
2025-01-27,Ecommerce,BEER_IPA_4PK,13,168.87,0,Beer
2025-01-27,Ecommerce,BEER_LAGER_6PK,17,186.83,0,Beer
2025-01-27,Retail,ALE_PALE_6PK,21,220.29,0,Beer
2025-01-27,Retail,BEER_IPA_4PK,18,233.82,0,Beer
2025-01-27,Retail,BEER_LAGER_6PK,9,98.91,0,Beer
2025-01-27,Retail,BEER_STOUT_6PK,14,167.86,0,Beer
2025-01-28,Ecommerce,BEER_IPA_4PK,2,25.98,0,Beer
2025-01-28,Ecommerce,BEER_STOUT_6PK,14,167.86,0,Beer
2025-01-28,Retail,ALE_PALE_6PK,12,125.88,0,Beer
2025-01-28,Retail,BEER_IPA_4PK,20,259.8,0,Beer
2025-01-28,Retail,BEER_LAGER_6PK,17,180.236,1,Beer
2025-01-28,Retail,BEER_STOUT_6PK,19,227.81,0,Beer
2025-01-29,Ecommerce,ALE_PALE_6PK,15,157.35,0,Beer
2025-01-29,Ecommerce,BEER_LAGER_6PK,5,54.95,0,Beer
2025-01-29,Ecommerce,BEER_STOUT_6PK,8,95.92,0,Beer
2025-01-29,Retail,ALE_PALE_6PK,19,199.31,0,Beer
2025-01-29,Retail,BEER_IPA_4PK,20,228.624,1,Beer
2025-01-29,Retail,BEER_LAGER_6PK,19,186.83,1,Beer
2025-01-29,Retail,BEER_STOUT_6PK,44,498.784,1,Beer
2025-01-29,Retail,UNKNOWN_SKU_999,7,35.0,0,Legacy
2025-01-30,Ecommerce,ALE_PALE_6PK,16,167.84,0,Beer
2025-01-30,Ecommerce,BEER_IPA_4PK,9,116.91,0,Beer
2025-01-30,Retail,ALE_PALE_6PK,18,188.82,0,Beer
2025-01-30,Retail,BEER_IPA_4PK,17,220.82999999999998,0,Beer
2025-01-30,Retail,BEER_LAGER_6PK,25,259.36400000000003,1,Beer
2025-01-30,Retail,BEER_STOUT_6PK,20,223.014,1,Beer
2025-01-30,Retail,UNKNOWN_SKU_999,1,5.0,0,Legacy
2025-01-31,Ecommerce,ALE_PALE_6PK,16,167.84,0,Beer
2025-01-31,Ecommerce,BEER_IPA_4PK,15,194.85,0,Beer
2025-01-31,Ecommerce,BEER_LAGER_6PK,13,142.87,0,Beer
2025-01-31,Ecommerce,BEER_STOUT_6PK,4,47.96,0,Beer
2025-01-31,Retail,ALE_PALE_6PK,15,157.35,0,Beer
2025-01-31,Retail,BEER_IPA_4PK,19,246.81,0,Beer
2025-01-31,Retail,BEER_LAGER_6PK,30,307.72,1,Beer
2025-01-31,Retail,BEER_STOUT_6PK,24,263.78000000000003,1,Beer
2025-02-01,Ecommerce,ALE_PALE_6PK,5,51.401,0,Beer
2025-02-01,Ecommerce,BEER_IPA_4PK,12,155.88,0,Beer
2025-02-01,Ecommerce,BEER_LAGER_6PK,12,131.88,0,Beer
2025-02-01,Ecommerce,BEER_STOUT_6PK,15,179.85,0,Beer
2025-02-01,Retail,ALE_PALE_6PK,26,245.466,1,Beer
2025-02-01,Retail,BEER_IPA_4PK,35,454.65000000000003,0,Beer
2025-02-01,Retail,BEER_LAGER_6PK,41,450.59000000000003,0,Beer
2025-02-01,Retail,BEER_STOUT_6PK,43,515.57,0,Beer
2025-02-02,Ecommerce,ALE_PALE_6PK,8,83.92,0,Beer
2025-02-02,Ecommerce,BEER_IPA_4PK,1,12.99,0,Beer
2025-02-02,Ecommerce,BEER_STOUT_6PK,3,35.97,0,Beer
2025-02-02,Retail,ALE_PALE_6PK,43,451.07,0,Beer
