date,store_id,sku,units_sold,unit_price,promo_flag
2025-01-18,S001,BEER_LAGER_6PK,6,10.99,False
2025-01-18,S001,BEER_IPA_4PK,7,12.99,False
2025-01-18,S001,BEER_STOUT_6PK,6,11.99,False
2025-01-18,S001,ALE_PALE_6PK,7,10.49,False
2025-01-18,S002,BEER_LAGER_6PK,7,10.99,False
2025-01-18,S002,BEER_IPA_4PK,6,12.99,False
2025-01-18,S002,BEER_STOUT_6PK,11,11.99,False
2025-01-18,S002,ALE_PALE_6PK,4,10.49,False
2025-01-18,S003,BEER_LAGER_6PK,6,10.99,False
2025-01-18,S003,BEER_IPA_4PK,5,12.99,False
2025-01-18,S003,BEER_STOUT_6PK,7,11.99,False
2025-01-18,S003,ALE_PALE_6PK,7,10.49,False
2025-01-18,S004,BEER_LAGER_6PK,8,10.99,False
2025-01-18,S004,BEER_IPA_4PK,6,12.99,False
2025-01-18,S004,BEER_STOUT_6PK,6,11.99,False
2025-01-18,S004,ALE_PALE_6PK,10,10.49,False
2025-01-18,S005,BEER_LAGER_6PK,5,10.99,False
2025-01-18,S005,BEER_IPA_4PK,7,12.99,False
2025-01-18,S005,BEER_STOUT_6PK,6,11.99,False
2025-01-18,S005,ALE_PALE_6PK,6,10.49,False
2025-01-19,S001,BEER_LAGER_6PK,11,10.99,False
2025-01-19,S001,BEER_IPA_4PK,6,12.99,False
2025-01-19,S001,BEER_STOUT_6PK,7,11.99,False
2025-01-19,S001,ALE_PALE_6PK,9,10.49,False
2025-01-19,S001,UNKNOWN_SKU_999,11,5.0,False
2025-01-19,S002,BEER_LAGER_6PK,4,10.99,False
2025-01-19,S002,BEER_IPA_4PK,2,12.99,False
2025-01-19,S002,BEER_STOUT_6PK,11,11.99,False
2025-01-19,S002,ALE_PALE_6PK,7,10.49,False
2025-01-19,S003,BEER_LAGER_6PK,7,10.99,False
2025-01-19,S003,BEER_IPA_4PK,6,12.99,False
2025-01-19,S003,BEER_STOUT_6PK,13,11.99,False
2025-01-19,S003,ALE_PALE_6PK,9,10.49,False
2025-01-19,S004,BEER_LAGER_6PK,14,10.99,False
2025-01-19,S004,BEER_IPA_4PK,6,12.99,False
2025-01-19,S004,BEER_STOUT_6PK,6,11.99,False
2025-01-19,S004,ALE_PALE_6PK,5,10.49,False
2025-01-19,S005,BEER_LAGER_6PK,8,10.99,False
2025-01-19,S005,BEER_IPA_4PK,9,12.99,False
2025-01-19,S005,BEER_STOUT_6PK,9,11.99,False
2025-01-19,S005,ALE_PALE_6PK,3,8.392000000000001,True
2025-01-20,S001,BEER_LAGER_6PK,5,10.99,False
2025-01-20,S001,BEER_IPA_4PK,5,12.99,False
2025-01-20,S001,BEER_STOUT_6PK,6,11.99,False
2025-01-20,S001,ALE_PALE_6PK,4,10.49,False
2025-01-20,S002,BEER_LAGER_6PK,8,10.99,False
2025-01-20,S002,BEER_IPA_4PK,2,12.99,False
2025-01-20,S002,BEER_STOUT_6PK,2,11.99,False
2025-01-20,S002,ALE_PALE_6PK,2,10.49,False
2025-01-20,S003,BEER_LAGER_6PK,7,10.99,False
2025-01-20,S003,BEER_IPA_4PK,6,12.99,False
2025-01-20,S003,BEER_STOUT_6PK,7,11.99,False
2025-01-20,S003,ALE_PALE_6PK,6,10.49,False
2025-01-20,S004,BEER_LAGER_6PK,7,10.99,False
2025-01-20,S004,BEER_IPA_4PK,6,12.99,False
2025-01-20,S004,BEER_STOUT_6PK,4,11.99,False
2025-01-20,S004,ALE_PALE_6PK,2,10.49,False
2025-01-20,S005,BEER_LAGER_6PK,3,10.99,False
2025-01-20,S005,BEER_IPA_4PK,4,12.99,False
2025-01-20,S005,BEER_STOUT_6PK,7,11.99,False
2025-01-20,S005,ALE_PALE_6PK,4,10.49,False
2025-01-21,S001,BEER_LAGER_6PK,4,8.792,True
2025-01-21,S001,BEER_IPA_4PK,2,12.99,False
2025-01-21,S001,BEER_STOUT_6PK,6,11.99,False
2025-01-21,S001,ALE_PALE_6PK,3,10.49,False
2025-01-21,S002,BEER_LAGER_6PK,5,10.99,False
2025-01-21,S002,BEER_IPA_4PK,9,12.99,False
2025-01-21,S002,BEER_STOUT_6PK,6,11.99,False
2025-01-21,S002,ALE_PALE_6PK,6,10.49,False
2025-01-21,S003,BEER_LAGER_6PK,9,10.99,False
2025-01-21,S003,BEER_IPA_4PK,6,10.392000000000001,True
2025-01-21,S003,BEER_STOUT_6PK,9,11.99,False
2025-01-21,S003,ALE_PALE_6PK,2,10.49,False
2025-01-21,S004,BEER_LAGER_6PK,10,10.99,False
2025-01-21,S004,BEER_IPA_4PK,6,12.99,False
2025-01-21,S004,BEER_STOUT_6PK,9,11.99,False
2025-01-21,S004,ALE_PALE_6PK,4,10.49,False
2025-01-21,S005,BEER_LAGER_6PK,1,10.99,False
2025-01-21,S005,BEER_IPA_4PK,6,12.99,False
2025-01-21,S005,BEER_STOUT_6PK,8,11.99,False
2025-01-21,S005,ALE_PALE_6PK,9,8.392000000000001,True
2025-01-22,S001,BEER_LAGER_6PK,2,10.99,False
2025-01-22,S001,BEER_IPA_4PK,3,12.99,False
2025-01-22,S001,BEER_STOUT_6PK,5,11.99,False
2025-01-22,S001,ALE_PALE_6PK,3,10.49,False
2025-01-22,S002,BEER_LAGER_6PK,3,10.99,False
2025-01-22,S002,BEER_IPA_4PK,5,12.99,False
2025-01-22,S002,BEER_STOUT_6PK,6,11.99,False
2025-01-22,S002,ALE_PALE_6PK,5,10.49,False
2025-01-22,S003,BEER_LAGER_6PK,3,10.99,False
2025-01-22,S003,BEER_IPA_4PK,5,12.99,False
2025-01-22,S003,BEER_STOUT_6PK,3,11.99,False
2025-01-22,S003,ALE_PALE_6PK,3,10.49,False
2025-01-22,S004,BEER_LAGER_6PK,6,10.99,False
2025-01-22,S004,BEER_IPA_4PK,5,12.99,False
2025-01-22,S004,BEER_STOUT_6PK,6,11.99,False
2025-01-22,S004,ALE_PALE_6PK,2,10.49,False
2025-01-22,S005,BEER_LAGER_6PK,4,10.99,False
2025-01-22,S005,BEER_IPA_4PK,7,12.99,False
2025-01-22,S005,BEER_STOUT_6PK,6,11.99,False
2025-01-22,S005,ALE_PALE_6PK,5,10.49,False
2025-01-23,S001,BEER_LAGER_6PK,4,10.99,False
2025-01-23,S001,BEER_IPA_4PK,3,12.99,False
2025-01-23,S001,BEER_STOUT_6PK,3,11.99,False
2025-01-23,S001,ALE_PALE_6PK,7,10.49,False
2025-01-23,S002,BEER_LAGER_6PK,7,10.99,False
2025-01-23,S002,BEER_IPA_4PK,6,12.99,False
2025-01-23,S002,BEER_STOUT_6PK,9,9.592,True
2025-01-23,S002,ALE_PALE_6PK,7,10.49,False
2025-01-23,S003,BEER_LAGER_6PK,8,10.99,False
2025-01-23,S003,BEER_IPA_4PK,6,12.99,False
2025-01-23,S003,BEER_STOUT_6PK,3,11.99,False
2025-01-23,S003,ALE_PALE_6PK,7,10.49,False
2025-01-23,S004,BEER_LAGER_6PK,5,10.99,False
2025-01-23,S004,BEER_IPA_4PK,5,12.99,False
2025-01-23,S004,BEER_STOUT_6PK,7,11.99,False
2025-01-23,S004,ALE_PALE_6PK,4,10.49,False
2025-01-23,S005,BEER_LAGER_6PK,9,10.99,False
2025-01-23,S005,BEER_IPA_4PK,4,12.99,False
2025-01-23,S005,BEER_STOUT_6PK,5,11.99,False
2025-01-23,S005,ALE_PALE_6PK,2,10.49,False
2025-01-24,S001,BEER_LAGER_6PK,6,10.99,False
2025-01-24,S001,BEER_IPA_4PK,3,12.99,False
2025-01-24,S001,BEER_STOUT_6PK,6,11.99,False
2025-01-24,S001,ALE_PALE_6PK,2,10.49,False
2025-01-24,S002,BEER_LAGER_6PK,3,10.99,False
2025-01-24,S002,BEER_IPA_4PK,5,12.99,False
2025-01-24,S002,BEER_STOUT_6PK,3,11.99,False
2025-01-24,S002,ALE_PALE_6PK,4,10.49,False
2025-01-24,S003,BEER_LAGER_6PK,7,8.792,True
2025-01-24,S003,BEER_IPA_4PK,6,12.99,False
2025-01-24,S003,BEER_STOUT_6PK,3,11.99,False
2025-01-24,S003,ALE_PALE_6PK,4,8.392000000000001,True
2025-01-24,S004,BEER_LAGER_6PK,4,10.99,False
2025-01-24,S004,BEER_IPA_4PK,5,12.99,False
2025-01-24,S004,BEER_STOUT_6PK,4,11.99,False
2025-01-24,S004,ALE_PALE_6PK,2,10.49,False
2025-01-24,S005,BEER_LAGER_6PK,6,10.99,False
2025-01-24,S005,BEER_IPA_4PK,6,12.99,False
2025-01-24,S005,BEER_STOUT_6PK,8,11.99,False
2025-01-24,S005,ALE_PALE_6PK,1,8.392000000000001,True
2025-01-25,S001,BEER_LAGER_6PK,8,10.99,False
2025-01-25,S001,BEER_IPA_4PK,4,12.99,False
2025-01-25,S001,BEER_STOUT_6PK,5,11.99,False
2025-01-25,S001,ALE_PALE_6PK,10,10.49,False
2025-01-25,S002,BEER_LAGER_6PK,6,10.99,False
2025-01-25,S002,BEER_IPA_4PK,9,12.99,False
2025-01-25,S002,BEER_STOUT_6PK,7,11.99,False
2025-01-25,S002,ALE_PALE_6PK,9,10.49,False
2025-01-25,S003,BEER_LAGER_6PK,7,10.99,False
2025-01-25,S003,BEER_IPA_4PK,12,12.99,False
2025-01-25,S003,BEER_STOUT_6PK,7,11.99,False
2025-01-25,S003,ALE_PALE_6PK,10,10.49,False
2025-01-25,S004,BEER_LAGER_6PK,5,10.99,False
2025-01-25,S004,BEER_IPA_4PK,8,12.99,False
2025-01-25,S004,BEER_STOUT_6PK,10,11.99,False
2025-01-25,S004,ALE_PALE_6PK,9,10.49,False
2025-01-25,S005,BEER_LAGER_6PK,4,10.99,False
2025-01-25,S005,BEER_IPA_4PK,-11,12.99,False
2025-01-25,S005,BEER_STOUT_6PK,9,11.99,False
2025-01-25,S005,ALE_PALE_6PK,7,10.49,False
2025-01-26,S001,BEER_LAGER_6PK,8,10.99,False
2025-01-26,S001,BEER_IPA_4PK,6,12.99,False
2025-01-26,S001,BEER_STOUT_6PK,10,11.99,False
2025-01-26,S001,ALE_PALE_6PK,4,10.49,False
2025-01-26,S002,BEER_LAGER_6PK,16,10.99,False
2025-01-26,S002,BEER_IPA_4PK,8,12.99,False
2025-01-26,S002,BEER_STOUT_6PK,6,11.99,False
2025-01-26,S002,ALE_PALE_6PK,10,10.49,False
2025-01-26,S003,BEER_LAGER_6PK,8,10.99,False
2025-01-26,S003,BEER_IPA_4PK,5,12.99,False
2025-01-26,S003,BEER_STOUT_6PK,7,11.99,False
2025-01-26,S003,ALE_PALE_6PK,9,10.49,False
2025-01-26,S004,BEER_LAGER_6PK,8,10.99,False
2025-01-26,S004,BEER_IPA_4PK,10,12.99,False
2025-01-26,S004,BEER_STOUT_6PK,6,11.99,False
2025-01-26,S004,ALE_PALE_6PK,9,10.49,False
2025-01-26,S005,BEER_LAGER_6PK,6,10.99,False
2025-01-26,S005,BEER_IPA_4PK,7,12.99,False
2025-01-26,S005,BEER_STOUT_6PK,8,11.99,False
2025-01-26,S005,ALE_PALE_6PK,6,10.49,False
2025-01-27,S001,BEER_LAGER_6PK,2,10.99,False
2025-01-27,S001,BEER_IPA_4PK,3,12.99,False
2025-01-27,S001,BEER_STOUT_6PK,1,11.99,False
2025-01-27,S001,ALE_PALE_6PK,5,10.49,False
2025-01-27,S002,BEER_LAGER_6PK,4,10.99,False
2025-01-27,S002,BEER_IPA_4PK,7,12.99,False
2025-01-27,S002,BEER_STOUT_6PK,7,11.99,False
2025-01-27,S002,ALE_PALE_6PK,2,10.49,False
2025-01-27,S003,BEER_LAGER_6PK,5,10.99,False
2025-01-27,S003,BEER_IPA_4PK,6,12.99,False
2025-01-27,S003,BEER_STOUT_6PK,7,9.592,True
2025-01-27,S003,ALE_PALE_6PK,2,10.49,False
2025-01-27,S004,BEER_LAGER_6PK,7,10.99,False
2025-01-27,S004,BEER_IPA_4PK,9,12.99,False
2025-01-27,S004,BEER_STOUT_6PK,6,11.99,False
2025-01-27,S004,ALE_PALE_6PK,7,8.392000000000001,True
2025-01-27,S005,BEER_LAGER_6PK,6,10.99,False
2025-01-27,S005,BEER_IPA_4PK,5,12.99,False
2025-01-27,S005,BEER_STOUT_6PK,5,11.99,False
2025-01-27,S005,ALE_PALE_6PK,5,10.49,False
2025-01-28,S001,BEER_LAGER_6PK,4,10.99,False
2025-01-28,S001,BEER_IPA_4PK,8,12.99,False
2025-01-28,S001,BEER_STOUT_6PK,4,11.99,False
2025-01-28,S001,ALE_PALE_6PK,5,10.49,False
2025-01-28,S002,BEER_LAGER_6PK,3,10.99,False
2025-01-28,S002,BEER_IPA_4PK,10,10.392000000000001,True
